column name,column type,column values
alcohol_intensity,Not specified,"Drinker, Heavy Drinker, Lifelong Non-Drinker, Non-Drinker, Not Reported, Occasional Drinker, Social Drinker, Unknown"
alcohol_type,Not specified,"Beer, Liquor, Not Reported, Other, Unknown, Wine"
aligned_reads_files,Not specified,Not specified
aligned_reads_indexes,Not specified,Not specified
alignment_cocleaning_workflows,Not specified,Not specified
alignment_workflows,Not specified,Not specified
aliquot_quantity,number,Not specified
aliquot_volume,number,Not specified
aliquots,Not specified,Not specified
amount,number,Not specified
analysis_metadata_files,Not specified,Not specified
analyte_quantity,number,Not specified
analyte_type,Not specified,"DNA, EBV Immortalized Normal, FFPE DNA, GenomePlex (Rubicon) Amplified DNA, Nuclei RNA, RNA, Repli-G (Qiagen) DNA, Repli-G Pooled (Qiagen) DNA, Repli-G X (Qiagen) DNA, cfDNA"
analyte_type_id,Not specified,"D, E, G, H, R, S, T, W, X, Y"
analyte_volume,number,Not specified
analytes,Not specified,Not specified
anaplasia_present,Not specified,"No, Not Reported, Unknown, Yes"
anaplasia_present_type,Not specified,"Absent, Diffuse, Equivocal, Focal, Not Reported, Present, Sclerosis, Unknown"
aneuploidy,Not specified,"Monosomy, Trisomy"
ann_arbor_b_symptoms,Not specified,"No, Not Allowed To Collect, Not Reported, Unknown, Yes"
ann_arbor_b_symptoms_described,Not specified,"Fever, Night Sweats, Other, Weight Loss"
ann_arbor_clinical_stage,Not specified,"Not Reported, Stage I, Stage II, Stage III, Stage IV, Unknown"
ann_arbor_extranodal_involvement,Not specified,"No, Not Allowed To Collect, Not Reported, Unknown, Yes"
ann_arbor_pathologic_stage,Not specified,"Not Reported, Stage I, Stage II, Stage III, Stage IV, Unknown"
annotated_somatic_mutations,Not specified,Not specified
antigen,Not specified,"CA19-9, CD14, CD23, CD34, CD5, Kappa, Surface, Lambda, Surface, Not Reported, Prostate-Specific Antigen (PSA), Unknown"
archives,Not specified,Not specified
asbestos_exposure,Not specified,"No, Not Reported, Unknown, Yes"
asbestos_exposure_type,Not specified,"Amosite, Crocidolite"
average_base_quality,number,Not specified
average_insert_size,integer,Not specified
average_read_length,integer,Not specified
awg_review,boolean,Not specified
barretts_esophagus_goblet_cells_present,Not specified,"No, Not Reported, Unknown, Yes"
base_caller_name,string,Not specified
base_caller_version,string,Not specified
basic_statistics,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
batch_id,integer,Not specified
bcr_id,string,Not specified
best_overall_response,Not specified,"CPD-Clinical Progression, NPB-No Palliative Benefit, NR-No Response, Non-CR/Non-PD-Non-CR/Non-PD, PA-Palliative Therapy, PD-Progressive Disease, PR-Partial Response, PSR-Pseudoresponse, SPD-Surgical Progression, VGPR-Very Good Partial Response"
biospecimen_anatomic_site,Not specified,"Fallopian Tube, Foot, Fundus Of Stomach, Index Finger, Lung, Lymph Node(s) Distant, Pineal Gland, Placenta, Rib, Uterus"
biospecimen_laterality,Not specified,"Bilateral, Left, Not Reported, Right, Unknown"
biospecimen_supplements,Not specified,Not specified
biospecimen_type,Not specified,"Bone Marrow, Buccal Mucosa, Buffy Coat, Connective Tissue, Granulocyte, Peritoneal Fluid, Plasma, Pleural Fluid, Saliva, Urine"
biospecimen_volume,number,Not specified
blood_test_normal_range_lower,number,Not specified
blood_test_normal_range_upper,number,Not specified
bmi,number,Not specified
body_surface_area,number,Not specified
bone_marrow_malignant_cells,Not specified,"No, Not Reported, Unknown, Yes"
breslow_thickness,number,Not specified
burkitt_lymphoma_clinical_variant,Not specified,"Endemic, Immunodeficiency-associated, adult, Immunodeficiency-associated, pediatric, Not Allowed To Collect, Not Reported, Sporadic, adult, Sporadic, pediatric, Unknown"
cancer_detection_method,Not specified,"Not Reported, Screening, Surveillance, Symptomatic"
cases,Not specified,Not specified
catalog_reference,string,Not specified
category,Not specified,"Alternate sample pipeline, Case submitted is found to be a recurrence after submission, Duplicate case, History of acceptable prior treatment related to a prior/other malignancy, Item in special subset, Item is noncanonical, Normal tissue origin incorrect, Observation, Tumor tissue origin incorrect, WGA Failure"
cause_of_death,Not specified,"Cancer Related, Cardiovascular Disorder, NOS, End-stage Renal Disease, Infection, Not Cancer Related, Not Reported, Renal Disorder, NOS, Spinal Muscular Atrophy, Toxicity, Unknown"
cause_of_death_source,Not specified,"Autopsy, Death Certificate, Medical Record, Not Reported, Social Security Death Index, Unknown"
cause_of_response,string,Not specified
cd4_count,number,Not specified
cdc_hiv_risk_factors,Not specified,"Hemophiliac, Heterosexual Contact, Homosexual Contact, Intravenous Drug User, None, Not Reported, Transfusion Recipient, Unknown"
cell_count,integer,Not specified
center_type,string,Not specified
centers,Not specified,Not specified
channel,Not specified,"Green, Red"
chemical_exposure_type,array,Not specified
chemo_concurrent_to_radiation,Not specified,"No, Not Reported, Unknown, Yes"
child_pugh_classification,Not specified,"A, A5, B7, B8, C, C10, C11, C12, Not Reported, Unknown"
chip_id,string,Not specified
chip_position,string,Not specified
chipseq_antibody,Not specified,"Not Applicable, Unknown, abcam ab4729 anti-H3K27ac"
chipseq_target,Not specified,"H3K27ac, H3K27me3, H3K36me3, H3K4me1, H3K4me3, H3K9me3, Input Control, Unknown"
chromosomal_translocation,Not specified,"Not Reported, Unknown, t(10;11)(p11.2;q23), t(11;19)(q23;p13.1), t(3;5)(q25;q34), t(6;11)(q27;q23), t(6;9), t(8;21), t(9;11)(p22;q23)"
chromosome,Not specified,"chr11, chr12, chr18, chr19, chr2, chr20, chr3, chr4, chrX, chrY"
chromosome_arm,Not specified,"Not Reported, p, q"
cigarettes_per_day,number,Not specified
circumferential_resection_margin,number,Not specified
clark_level,Not specified,"I, II, III, IV, Not Reported, V"
classification,Not specified,"Blocking Release, CenterNotification, Complete Data Freeze, Downstream Data Freeze, Notification, Observation, Redaction"
classification_of_tumor,Not specified,"Not Allowed To Collect, Prior primary, Progression, Synchronous primary, Unknown, metastasis, not reported, other, primary, recurrence"
clinical_supplements,Not specified,Not specified
clinical_trial_indicator,Not specified,"No, Not Reported, Yes"
clonality,Not specified,"Clonal, Non-clonal"
coal_dust_exposure,Not specified,"No, Unknown, Yes"
code,string,Not specified
cog_liver_stage,Not specified,"Not Reported, Stage I, Stage II, Stage III, Stage IV, Unknown"
cog_neuroblastoma_risk_group,Not specified,"High Risk, Intermediate Risk, Low Risk, Not Reported, Unknown"
cog_renal_stage,Not specified,"Not Reported, Stage I, Stage II, Stage III, Stage IV, Unknown"
cog_rhabdomyosarcoma_risk_group,Not specified,"High Risk, Intermediate Risk, Low Risk, Not Reported, Unknown"
columnar_mucosa_present,Not specified,"No, Not Reported, Unknown, Yes"
comorbidities,array,Not specified
comorbidity,Not specified,"Cerebrovascular Disease, Connective Tissue Disorder, Cytomegalovirus (CMV), Hepatitis, Kidney Disease, Metabolic Syndrome, Neuroendocrine Tumor, Other Nonmalignant Systemic Disease, Psoriasis, Shingles"
comorbidity_method_of_diagnosis,Not specified,"Histology, Not Reported, Pathology, Radiology, Unknown"
composition,Not specified,"3D Neurosphere, Adherent Cell Line, Bone Marrow Components, Buffy Coat, EBV Immortalized, Fibroblasts from Bone Marrow Normal, Lymphocytes, Mixed Adherent Suspension, Peripheral Blood Components NOS, Unknown"
concentration,number,Not specified
consent_type,Not specified,"Consent Exemption, Consent Waiver, Consent by Death, Informed Consent"
consistent_pathology_review,Not specified,"No, Not Reported, Yes"
contamination,number,Not specified
contamination_error,number,Not specified
contiguous_organ_invaded,Not specified,"Adrenal, Bladder, Colon, Inferior Vena Cava, Kidney, Liver, Not Reported, Small Bowel, Spleen"
copy_number,number,Not specified
copy_number_auxiliary_files,Not specified,Not specified
copy_number_estimates,Not specified,Not specified
copy_number_liftover_workflows,Not specified,Not specified
copy_number_segments,Not specified,Not specified
copy_number_variation_workflows,Not specified,Not specified
country_of_birth,Not specified,"Botswana, Cameroon, Federated States of Micronesia, Japan, Lesotho, Mongolia, Nicaragua, Panama, Saint Helena, Ascension and Tristan da Cunha, Switzerland"
country_of_residence_at_enrollment,Not specified,"Armenia, Bolivia, Congo, Guinea, Kazakhstan, Lesotho, Liechtenstein, Puerto Rico, South Africa, Uruguay"
course_number,number,Not specified
created_datetime,Not specified,Not specified
creation_datetime,number,Not specified
creator,string,Not specified
current_weight,number,Not specified
cytoband,string,Not specified
data_category,Not specified,"Biospecimen, Combined Nucleotide Variation, Copy Number Variation, DNA Methylation, Proteome Profiling, Raw Sequencing Data, Sequencing Data, Somatic Structural Variation, Structural Variation, Transcriptome Profiling"
data_format,Not specified,"ADF, BAI, BCR SSF XML, CDC JSON, CEL, IDAT, MAF, MAGETAB, SRA XML, TBI"
data_formats,Not specified,Not specified
data_subtypes,Not specified,Not specified
data_type,Not specified,"Aligned Reads, Allele-specific Copy Number Segment, Cohort Level Copy Number Scores, Gene Expression Quantification, Isoform Expression Quantification, Masked Intensities, Masked Somatic Mutation, Raw CGI Variant, Slide Image, Unaligned Reads"
data_types,Not specified,Not specified
days_to_adverse_event,integer,Not specified
days_to_best_overall_response,integer,Not specified
days_to_birth,integer,Not specified
days_to_collection,integer,Not specified
days_to_comorbidity,integer,Not specified
days_to_consent,integer,Not specified
days_to_death,"integer, number",Not specified
days_to_diagnosis,integer,Not specified
days_to_first_event,integer,Not specified
days_to_follow_up,Not specified,Not specified
days_to_imaging,integer,Not specified
days_to_last_follow_up,Not specified,Not specified
days_to_last_known_disease_status,Not specified,Not specified
days_to_lost_to_followup,integer,Not specified
days_to_pathology_detail,integer,Not specified
days_to_progression,integer,Not specified
days_to_progression_free,integer,Not specified
days_to_recurrence,integer,Not specified
days_to_risk_factor,integer,Not specified
days_to_sample_procurement,integer,Not specified
days_to_sequencing,integer,Not specified
days_to_test,integer,Not specified
days_to_treatment_end,integer,Not specified
days_to_treatment_start,integer,Not specified
dbgap_accession_number,string,Not specified
demographics,Not specified,Not specified
derived_files,Not specified,Not specified
described_cases,Not specified,Not specified
diabetes_treatment_type,Not specified,"Alpha-Glucosidase Inhibitor, Diet, Injected Insulin, Insulin, Linagliptin, Oral Hypoglycemic, Other, Sulfonylurea, Thiazolidinedione, Unknown"
diagnoses,Not specified,Not specified
diagnosis_is_primary_disease,boolean,Not specified
diagnosis_pathologically_confirmed,Not specified,"No, Not Allowed To Collect, Not Reported, Unknown, Yes"
discontiguous_lesion_count,integer,Not specified
disease_response,Not specified,"AJ-Adjuvant Therapy, IPD-Immunoprogression, NPB-No Palliative Benefit, PR-Partial Response, PSR-Pseudoresponse, RPD-Radiographic Progressive Disease, SD-Stable Disease, SPD-Surgical Progression, Unknown, VGPR-Very Good Partial Response"
disease_type,string,"Chronic Myeloproliferative Disorders, Epithelial Neoplasms, NOS, Gliomas, Hodgkin Lymphoma, Mast Cell Tumors, Neoplasms of Histiocytes and Accessory Lymphoid Cells, Neuroepitheliomatous Neoplasms, Not Reported, Paragangliomas and Glomus Tumors, Unknown"
distance_normal_to_tumor,Not specified,"Adjacent (< or = 2cm), Distal (>2cm), Not Reported, Unknown"
distributor_reference,string,Not specified
dlco_ref_predictive_percent,number,Not specified
doi,string,Not specified
double_expressor_lymphoma,Not specified,"No, Not Reported, Yes"
double_hit_lymphoma,Not specified,"No, Not Reported, Yes"
drug_category,Not specified,"Glucocorticoid, Growth factor, PARP inhibitor"
dysplasia_degree,Not specified,"High Grade, Indefinite, Low Grade, Mild, Moderate, No Dysplasia, Not Reported, Severe, Unknown"
dysplasia_type,Not specified,"Epithelial, Esophageal Columnar Dysplasia, Esophageal Mucosa Columnar Dysplasia, Keratinizing, Nonkeratinizing, Not Reported, Other, Unknown"
ecog_performance_status,Not specified,"0, 1, 2, 3, 4, 5, Not Reported, Unknown"
education_level,Not specified,"College Degree, High School Graduate or GED, Not Reported, Professional or Graduate Degree, Some High School or Less, Vocational College or Some College"
eln_risk_classification,Not specified,"Adverse, Favorable, Intermediate, Not Reported, Unknown"
embolic_agent,Not specified,"Gelfoam, Lipiodol, Other, PVA Particles, Plastic Beads, Spherical Particles, Y-90 Sirsphere, Y-90 Therasphere"
encoding,string,Not specified
enneking_msts_grade,Not specified,"High Grade (G2), Low Grade (G1), Not Reported, Unknown"
enneking_msts_metastasis,Not specified,"No Metastasis (M0), Not Reported, Regional or Distant Metastasis (M1), Unknown"
enneking_msts_stage,Not specified,"Not Reported, Stage IA, Stage IB, Stage IIA, Stage IIB, Stage III, Unknown"
enneking_msts_tumor_site,Not specified,"Extracompartmental (T2), Intracompartmental (T1), Not Reported, Unknown"
ensat_clinical_m,Not specified,"M0, M1"
ensat_pathologic_n,Not specified,"N0, N1"
ensat_pathologic_stage,Not specified,"Stage I, Stage II, Stage III, Stage IV"
ensat_pathologic_t,Not specified,"T1, T2, T3, T4"
environmental_tobacco_smoke_exposure,Not specified,"No, Unknown, Yes"
epithelioid_cell_percent,number,Not specified
error_type,Not specified,"file_format, file_size, md5sum"
esophageal_columnar_dysplasia_degree,Not specified,"High Grade Dysplasia, Indefinite for Dysplasia, Low Grade Dysplasia, Negative/ No Dysplasia, Not Reported, Unknown"
esophageal_columnar_metaplasia_present,Not specified,"No, Not Reported, Unknown, Yes"
ethnicity,Not specified,"Unknown, hispanic or latino, not allowed to collect, not hispanic or latino, not reported, unknown"
evidence_of_progression_type,Not specified,"Convincing Image Source, Histologic Confirmation"
evidence_of_recurrence_type,Not specified,"Biopsy with Histologic Confirmation, Convincing Image Source, Histologic Confirmation, Physical Examination, Positive Biomarker(s)"
exercise_frequency_weekly,Not specified,"1 to 2 Days, 3 to 4 Days, 5 or More Days, None"
exon,string,Not specified
experiment_metadata_files,Not specified,Not specified
experiment_name,string,Not specified
experimental_protocol_type,Not specified,"Allprep FFPE DNA, Allprep RNA Extraction, Chemical Lysis DNA Extraction, Genomplex, Repli-G, Repli-G X, Total RNA, aDNA Preparation Type, mirVana (Allprep DNA) RNA, nRNA - Melanoma Protocol"
experimental_strategies,Not specified,Not specified
experimental_strategy,Not specified,"ATAC-Seq, Cell Culture, ChIP-Seq, HiChIP, Tissue Slide, Total RNA-Seq, Validation, WGS, WXS, m6A MeRIP-Seq"
exposure_duration,Not specified,"Not Reported, Six Weeks or More, Unknown"
exposure_duration_hrs_per_day,number,Not specified
exposure_duration_years,integer,Not specified
exposure_source,Not specified,"Home, Occupational, Secondary, Social, Unknown, Work"
exposure_type,Not specified,"Asbestos, Coal Dust, Dust, NOS, Marijuana, Radiation, Radon, Smoke, Smokeless Tobacco, Tobacco, Wood Dust"
exposures,Not specified,Not specified
expression_analysis_workflows,Not specified,Not specified
extracapsular_extension,Not specified,"Extensive, Focal, Not Reported"
extracapsular_extension_present,Not specified,"No, Unknown, Yes"
extranodal_extension,Not specified,"Gross Extension, Microscopic Extension, No Extranodal Extension"
extrascleral_extension,boolean,Not specified
extrathyroid_extension,Not specified,"Minimal (T3), Moderate/Advanced (T4a), None, Unknown, Very Advanced (T4b)"
eye_color,Not specified,"Amber, Blue, Brown, Gray, Green, Hazel, Not Reported, Other, Red & Violet"
fab_morphology_code,Not specified,"M0, M1, M2, M3, M4, M5, M6, M7, Not Classified"
family_histories,Not specified,Not specified
fastq_name,string,Not specified
fev1_fvc_post_bronch_percent,number,Not specified
fev1_fvc_pre_bronch_percent,number,Not specified
fev1_ref_post_bronch_percent,number,Not specified
fev1_ref_pre_bronch_percent,number,Not specified
figo_stage,Not specified,"Not Allowed To Collect, Stage 0, Stage IA2, Stage IB2, Stage IC3, Stage II, Stage IIA1, Stage III, Stage IIIA2, Stage IVA"
figo_staging_edition_year,Not specified,"1988, 1995, 2009"
file_name,string,Not specified
file_size,integer,Not specified
file_state,Not specified,"deleted, error, processed, processing, registered, released, submitted, uploaded, uploading, validated"
files,Not specified,Not specified
filtered_copy_number_segments,Not specified,Not specified
first_event,Not specified,"Death, Death without Remission, Event, Induction Failure, None, Not Reported, Other, Presented with Metastases, Relapse, Second Malignant Neoplasm"
first_symptom_longest_duration,Not specified,"0-30 Days, 31-90 Days, 91-180 Days, >=181 Days"
first_symptom_prior_to_diagnosis,Not specified,"Altered Mental Status, Headaches, Motor or Movement Changes, Not Reported, Seizures, Sensory Changes, Unknown, Visual Changes"
flow_cell_barcode,string,Not specified
follow_ups,Not specified,Not specified
fragment_maximum_length,integer,Not specified
fragment_mean_length,number,Not specified
fragment_minimum_length,integer,Not specified
fragment_standard_deviation_length,number,Not specified
fragmentation_enzyme,Not specified,"MboI, Not Applicable, Unknown"
freezing_method,string,Not specified
gastric_esophageal_junction_involvement,Not specified,"No, Not Reported, Unknown, Yes"
gender,Not specified,"female, male, not reported, unknown, unspecified"
gene_expressions,Not specified,Not specified
gene_symbol,Not specified,"CCNB1IP1, DNM2, FANCA, GRM3, ISX, MAF, MAP2K1, MUTYH, SEPT5, TRIP11"
genomic_profile_harmonization_workflows,Not specified,Not specified
germline_mutation_calling_workflows,Not specified,Not specified
gleason_grade_group,Not specified,"Group 1, Group 2, Group 3, Group 4, Group 5, Not Reported"
gleason_grade_tertiary,Not specified,"Pattern 4, Pattern 5"
gleason_patterns_percent,integer,Not specified
gleason_score,integer,Not specified
goblet_cells_columnar_mucosa_present,Not specified,"No, Not Reported, Unknown, Yes"
greatest_tumor_dimension,number,Not specified
gross_tumor_weight,number,Not specified
growth_rate,integer,Not specified
haart_treatment_indicator,Not specified,"No, Not Reported, Unknown, Yes"
height,number,Not specified
hepatitis_sustained_virological_response,Not specified,"No, Not Reported, Unknown, Yes"
histologic_progression_type,Not specified,"Anaplastic, Not Reported, Poorly differentiated, Unknown"
histone_family,Not specified,"H1, H2A, H2B, H3, H4, Not Reported, Unknown"
histone_variant,Not specified,"CENP-A, H2A.Z.2.2, H3.5, H3.X, H3.Y, H3t (H3.4), Not Reported, Unknown, mH2A, mH2A.1"
history_of_tumor,Not specified,"No, Not Reported, Yes"
history_of_tumor_type,Not specified,"Colorectal Cancer, Lower Grade Glioma, Phenochromocytoma or Paraganglioma"
hiv_viral_load,number,Not specified
hormonal_contraceptive_type,Not specified,"Not Reported, Progestin, Progestin and Estrogen, Unknown"
hormonal_contraceptive_use,Not specified,"Current User, Former User, Never Used, Not Reported, Unknown"
hormone_replacement_therapy_type,Not specified,"Estrogen only, Not Reported, Progesterone and Estrogen, Progesterone only, Unknown"
hpv_positive_type,Not specified,"18, 26, 31, 33, 35, 52, 63, 68, 70, Other"
hpv_strain,Not specified,"HPV18, HPV31, HPV33, HPV35, HPV39, HPV45, HPV56, HPV58, HPV59, HPV73"
hysterectomy_margins_involved,Not specified,"Bladder, Macroscopic Parametrium, Microscopic Parametrium, None, Not Reported, Unknown, Vagina"
hysterectomy_type,Not specified,"Hysterectomy, NOS, Not Performed, Not Reported, Not performed, Radical Hysterectomy, Simple Hysterectomy, Unknown"
icd_10,string,Not specified
icd_10_code,string,Not specified
id,string,root
igcccg_stage,Not specified,"Good Prognosis, Intermediate Prognosis, Not Reported, Poor Prognosis, Unknown"
imaging_anatomic_site,array,Not specified
imaging_date,Not specified,Not specified
imaging_findings,Not specified,"Carcinomatosis, Kidney Involvement, Liver Involvement, Lung Involvement, Normal, Not Reported, Retroperitoneal Lymph Node Involvement, Vena Cava Involvement/Thrombus"
imaging_result,Not specified,"Indeterminate, Negative, Not Performed, Not Reported, Positive, Unknown"
imaging_suv,number,Not specified
imaging_suv_max,number,Not specified
imaging_type,Not specified,"99mTc Bone Scintigraphy, CT Scan, MRI, PET, Ultrasound"
immunosuppressive_treatment_type,Not specified,"Anti-TNF Therapy, Azathioprine, Cyclophosphamide, Methotrexate, None, Not Reported, Other, Unknown"
in_review,boolean,Not specified
includes_spike_ins,boolean,Not specified
index_date,Not specified,"Diagnosis, First Patient Visit, First Treatment, Initial Genomic Sequencing, Recurrence, Sample Procurement, Study Enrollment"
initial_disease_status,Not specified,"Initial Diagnosis, Not Reported, Persistent Disease, Progressive Disease, Recurrent Disease, Refractory Disease, Residual Disease, Unknown"
initial_weight,number,Not specified
inpc_grade,Not specified,"Differentiating, Not Reported, Poorly Differentiated, Undifferentiated, Undifferentiated or Poorly Differentiated, Unknown"
inpc_histologic_group,Not specified,"Favorable, Not Reported, Unfavorable, Unknown"
inrg_stage,Not specified,"L1, L2, M, Ms, Not Reported, Unknown"
inss_stage,Not specified,"Not Reported, Stage 1, Stage 2A, Stage 2B, Stage 3, Stage 4, Stage 4S, Unknown"
instrument_model,Not specified,"AB SOLiD 2, AB SOLiD 3, Complete Genomics, Illumina Genome Analyzer II, Illumina Genome Analyzer IIx, Illumina HiSeq X Five, Illumina HiSeq X Ten, Illumina MiSeq, Ion Torrent PGM, Other"
intended_release_date,Not specified,Not specified
intermediate_dimension,number,Not specified
international_prognostic_index,Not specified,"High Risk, High-Intermediate Risk, Low Risk, Low-Intermediate Risk"
intron,string,Not specified
irs_group,Not specified,"Group I, Group III, Group IIIa, Group IIIb, Group IIa, Group IIc, Group IV, Group Ia, Not Reported, Unknown"
irs_stage,Not specified,"1, 2, 3, 4, Not Reported, Unknown"
is_ffpe,boolean,Not specified
is_legacy,boolean,Not specified
is_paired_end,Not specified,Not specified
ishak_fibrosis_score,Not specified,"0 - No Fibrosis, 1,2 - Portal Fibrosis, 3,4 - Fibrous Septa, 5 - Nodular Formation and Incomplete Cirrhosis, 6 - Established Cirrhosis, Not Reported, Unknown"
iss_stage,Not specified,"I, II, III, Not Reported, Unknown"
karnofsky_performance_status,Not specified,"10, 100, 20, 30, 50, 60, 70, 80, Not Reported, Unknown"
kmer_content,Not specified,"FAIL, Not Reported, PASS, Unknown, WARN"
laboratory_test,Not specified,"BG8, Basophil, Cellularity, Dopamine-Secreting, Lactate Dehydrogenase, M Protein, Myeloblasts, Serum Free Immunoglobulin Light Chain, Kappa, Serum Free Immunoglobulin Light Chain, Lambda, Serum Mesothelin"
lane_number,integer,Not specified
largest_extrapelvic_peritoneal_focus,Not specified,"Macroscopic (2cm or less), Macroscopic (greater than 2cm), Microscopic, Not Reported, Unknown"
last_known_disease_status,Not specified,"Biochemical evidence of disease without structural correlate, Distant met recurrence/progression, Loco-regional recurrence/progression, Not Allowed To Collect, Tumor free, Unknown tumor status, With tumor, not reported"
laterality,Not specified,"Bilateral, Left, Midline, Not Reported, Right, Unilateral, Unknown"
legacy_created_datetime,Not specified,Not specified
legacy_updated_datetime,Not specified,Not specified
lesions_treated_number,number,Not specified
library_name,string,Not specified
library_preparation_kit_catalog_number,string,Not specified
library_preparation_kit_name,string,Not specified
library_preparation_kit_vendor,string,Not specified
library_preparation_kit_version,string,Not specified
library_selection,Not specified,"Affinity Enrichment, Hybrid Selection, Other, PCR, Poly-T Enrichment, Random, miRNA Size Fractionation, rRNA Depletion"
library_strand,Not specified,"First_Stranded, Not Applicable, Second_Stranded, Unstranded"
library_strategy,Not specified,"Bisulfite-Seq, HiChIP, RNA-Seq, Targeted Sequencing, WGS, WXS, m6A MeRIP-Seq, miRNA-Seq, scATAC-Seq, scRNA-Seq"
loci_abnormal_count,integer,Not specified
loci_count,integer,Not specified
locus,string,Not specified
longest_dimension,number,Not specified
lost_to_followup,Not specified,"No, Unknown, Yes"
lymph_node_dissection_method,Not specified,"Functional (Limited) Neck Dissection, Modified Radical Neck Dissection, Radical Neck Dissection"
lymph_node_dissection_site,Not specified,"Neck, Left, Neck, NOS, Neck, Right"
lymph_node_involved_site,Not specified,"Cervical, Cervical, Central, Femoral, Hilar, Iliac, NOS, Iliac-external, Occipital, Parotid, Submandibular, Supraclavicular"
lymph_node_involvement,Not specified,"Indeterminant, Negative, Not Reported, Positive, Unknown"
lymph_nodes_positive,integer,Not specified
lymph_nodes_removed,Not specified,"No, Not Reported, Yes"
lymph_nodes_tested,integer,Not specified
lymphatic_invasion_present,Not specified,"No, Not Reported, Unknown, Yes"
magnification,number,Not specified
major_version,integer,Not specified
margin_distance,number,Not specified
margin_status,Not specified,"Indeterminant, Involved, Not Reported, Uninvolved, Unknown"
margins_involved_site,Not specified,"Gerota Fascia, Parenchyma, Perinephric Fat, Renal, Renal Capsule, Renal Sinus, Renal Vein, Ureter"
marital_status,Not specified,"Divorced, Domestic Partnership, Married, Never Married, Separated, Widowed"
masaoka_stage,Not specified,"Stage I, Stage III, Stage IIa, Stage IIb, Stage IVa, Stage IVb"
masked_methylation_arrays,Not specified,Not specified
masked_somatic_mutations,Not specified,Not specified
max_tumor_bulk_site,Not specified,"Brain, Colon, Iliac-external, Oropharynx, Paraaortic lymph nodes, Peri-orbital soft tissue, Pericardium, Stomach, Submandibular lymph nodes, Supraclavicular lymph nodes"
md5sum,string,Not specified
mean_coverage,number,Not specified
measurement_type,Not specified,"Echographic, Pathologic, Radiologic"
measurement_unit,Not specified,"Centimeters, Millimeters"
medulloblastoma_molecular_classification,Not specified,"Non-WNT/non-SHH Activated, Not Determined, Not Reported, SHH-Activated, Unknown, WNT-Activated"
melanoma_known_primary,Not specified,"No, Not Reported, Yes"
menopause_status,Not specified,"Not Reported, Perimenopausal, Postmenopausal, Premenopausal, Unknown"
